cleaned_summary,Sentiment
csa,Neutral
wonderful work culture,Positive
great experience,Positive
incredible company,Positive
great place work,Positive
bets place work,Neutral
great company,Positive
nice,Positive
work culture nice,Positive
good,Positive
placed recently,Neutral
amazoncom,Neutral
good place work,Positive
satisfaction,Neutral
trms,Neutral
great job experience,Positive
good place work friendly people staffs,Positive
best place work,Positive
specialist,Neutral
amazing,Positive
love,Positive
one best companies work,Positive
ms,Neutral
sales associate,Neutral
good organization forever,Positive
entry level,Neutral
warehouse associate,Neutral
nice workplace,Positive
nice workplace,Positive
amazon best place work,Positive
great place work fun,Positive
really good,Positive
good work place,Positive
qae,Neutral
exciting new grad position,Positive
associate,Neutral
catalogue associate,Neutral
aha advisor,Neutral
great place work,Positive
great profess,Positive
home advisor,Neutral
amazing like company,Positive
literally best place work,Positive
great experience,Positive
awesome,Positive
srassosiate account specialty group,Neutral
health safety coordinator,Neutral
benefits,Neutral
erc associate hr services,Neutral
tron analyst,Neutral
great opportunities awesome culture,Positive
microsoft,Neutral
good,Positive
good,Positive
like working,Positive
software engineer,Neutral
good company good culture,Positive
tech support associate,Neutral
good,Positive
tech,Neutral
excellent employer,Positive
great company work,Positive
best company ever,Positive
happier ever,Neutral
phones category operations manager,Neutral
good,Positive
review,Neutral
perfect,Positive
amazing,Positive
best best,Positive
love company,Positive
engineer,Neutral
newhire onboarding,Neutral
great place work,Positive
good,Positive
best place work,Positive
great learning growth opportunities,Positive
se microsoft,Neutral
would want work amazon,Neutral
payment specialist,Neutral
amazing place work,Positive
deliver,Neutral
positive,Positive
software engineer,Neutral
working amazon fulltime less year,Negative
specialist,Neutral
great place,Positive
awesome,Positive
amazing,Positive
great perks great pay,Positive
nice company work,Positive
challenging rewarding place work awsome,Positive
employee review,Neutral
catalog lead,Neutral
nice company,Positive
software intern,Neutral
good company,Positive
software engineering salary,Neutral
good exposure,Positive
amazon,Neutral
software engineering intern,Neutral
good company,Positive
google,Neutral
web developer,Neutral
pm,Neutral
technical support asciate,Neutral
wonderful company ee engineer,Positive
amazing,Positive
good,Positive
amazing workplace,Positive
marketing associate,Neutral
amazing,Positive
really amazing company,Positive
great company work,Positive
great job anyone,Positive
warehouse associate,Neutral
apple great place work love people love technology,Positive
great place work,Positive
customer service associate,Neutral
environment,Neutral
software engineer intern,Neutral
awesome living dream working hard,Positive
good,Positive
software enginner,Neutral
goo,Neutral
,Neutral
amazon,Neutral
systems analyst,Neutral
partner technical consultant,Neutral
good company employee friendly,Positive
tremendous value,Positive
support engineer,Neutral
work review,Neutral
good work,Positive
marketing,Neutral
great environment fun job,Positive
ld specialist,Neutral
good,Positive
amazing place work,Positive
excellent,Positive
programming analyst give idea new application,Neutral
good,Positive
device associate role,Neutral
like work amazon,Positive
software developer,Neutral
great company work,Positive
good experience,Positive
review,Neutral
basic warehouse work picking orders stowing inventory,Neutral
amazon,Neutral
experience,Neutral
expert,Neutral
bad,Negative
receive,Neutral
receive,Neutral
worklife balance,Neutral
catalog quality associate,Neutral
great benefits life sucker,Positive
enterprise account manager,Neutral
amazong,Neutral
secretary,Neutral
worthy someone jobless,Positive
transaction risk investigator,Neutral
operation working perspective,Neutral
amazon,Neutral
microsoft good years,Positive
ok,Positive
business specialist easy sales average money progression,Neutral
fun great company work anymore,Positive
research software develpoment engineer,Neutral
amazon,Neutral
average retail experience,Negative
amazing learning experience,Positive
store manager,Neutral
sr analyst,Neutral
microsoft,Neutral
great pay great place work,Positive
amazon ambassador,Neutral
fulfillment associate,Neutral
good hoping get better,Positive
job interesting full marks google,Positive
technical account manager microsoft,Neutral
innovative exciting best people fun place work,Positive
family mental health disability run place,Neutral
projectes,Neutral
great employees room advance,Positive
data centre operations engineer,Neutral
contract technical recruiter,Neutral
wouldnt call best place work,Positive
omr onsite medial rep,Neutral
,Neutral
okay,Positive
operations,Neutral
fun,Positive
salary,Neutral
promise,Neutral
amazon campus pickup point,Neutral
decent,Positive
advanceas long boss likes,Positive
job alert,Neutral
different typical outside impression,Neutral
software engineer ii,Neutral
amazonian,Neutral
excellent,Positive
finance analyst,Neutral
best place work best environment,Positive
enriching lives,Neutral
job culture,Neutral
full time,Positive
phenomenal,Positive
interview,Neutral
customer service associate,Neutral
safety associate,Neutral
excelent work culture,Neutral
good company,Positive
customer sales rep,Neutral
forklift driver,Neutral
great company work,Positive
customer care executive,Neutral
great place work,Positive
customer service associate,Neutral
senior finance manager,Neutral
best place work,Positive
great place work,Positive
google nice company intern,Positive
wonderful blend hard work mixed fun work,Positive
fraud investigation specialist,Neutral
dock,Neutral
great employer every one work,Positive
great place start career,Positive
experience technical support engineer years handling clients,Neutral
dont experiences company,Neutral
great place work,Positive
computer teacher,Neutral
amazing job,Positive
information tech,Neutral
customer service associate,Neutral
excellent company,Positive
awesome company,Positive
excellent,Positive
great experiance,Positive
amazing,Positive
best company work,Positive
awesome company work,Positive
great job college thriving company culture,Positive
awful grunt work resetting passwords day,Negative
quite nice depending location,Positive
system engineer,Neutral
sde,Neutral
sortation,Neutral
security engineer,Neutral
amazing business model values training people development work life balance goal setting,Positive
smart people set compete rather collaborate,Positive
custom centricity good dont forget ur employees,Positive
associate,Neutral
great place work,Positive
software development engineer,Neutral
wonderful place retire,Positive
,Neutral
product advisor retail store,Neutral
agile lacking work life balance,Positive
operation manager,Neutral
less average,Negative
working facebook hyderabad,Neutral
marketing analyst,Neutral
yet learn lot,Neutral
good place start career,Positive
amazing,Positive
ot,Neutral
good company,Positive
interview experience amazon trms,Neutral
,Neutral
aha achieve greatness,Positive
process guide,Neutral
awesome job,Positive
goood proo,Neutral
buyer,Neutral
everyone,Neutral
unhappy,Negative
customer service,Neutral
good,Positive
accounts payable,Neutral
accounts payable,Neutral
intern,Neutral
good place,Positive
prime satisfactory,Neutral
transaction risk investigator,Neutral
positive work culture ms sgp operations,Positive
apple inc,Neutral
warehouse,Neutral
horrible experience,Negative
home advisor,Neutral
apple teview,Neutral
stower,Neutral
senior program manager,Neutral
warehouse job,Neutral
warehouse job,Neutral
apple developer program advisor,Neutral
superb company good culture,Positive
google,Neutral
life amazon,Neutral
recruiter,Neutral
lack career progression focus,Neutral
sick place,Negative
manager,Neutral
software development engineer,Neutral
company learn anything large scale,Positive
nice intern amazoncom,Positive
great place work,Positive
challenging,Positive
tell climb ladder put cap first step,Positive
ms ireland,Neutral
customer service agent,Neutral
excellent,Positive
engineer,Neutral
engineer,Neutral
meh,Neutral
bie,Neutral
love,Positive
cool,Positive
sde ii,Neutral
sr software engineer,Neutral
programmer writter,Neutral
microsoft truly awesome place work,Positive
great company,Positive
great place,Positive
software development engineer,Neutral
great company work,Positive
good experience,Positive
ecosystem start ups,Neutral
great technologies used amazon,Positive
good intern experience,Positive
great company,Positive
system developer engineer,Neutral
microsoft great,Positive
intern software,Neutral
software engineer ii,Neutral
sde,Neutral
great place work,Positive
great place work,Positive
good place work could better,Positive
software engineer,Neutral
sde,Neutral
software development engineer,Neutral
best,Positive
nice open place work,Positive
good company,Positive
software development engineer,Neutral
software engineer,Neutral
software engineer,Neutral
sde,Neutral
great place work,Positive
sdet,Neutral
best compant work,Positive
software engineer,Neutral
nice place work,Positive
changing better,Positive
bad,Negative
sde,Neutral
software developer engineer,Neutral
great company,Positive
really great place coming small company,Positive
apple,Neutral
transactions risk investigator,Neutral
best company ive worked,Positive
great place self driven lead way,Positive
starting family come join one stable moat orgs,Neutral
new hire,Neutral
great place,Positive
great company work,Positive
great place work,Positive
working microsoft,Neutral
amazing intern experience,Positive
good company work,Positive
aiight,Neutral
good experience,Positive
software development engineer,Neutral
sde internship review,Neutral
aws great place work,Positive
excellent company work,Positive
amazon review,Neutral
good,Positive
good company,Positive
good company college grads,Positive
product manager,Neutral
great company,Positive
company great culture,Positive
sde,Neutral
sde intern,Neutral
new grad sde package,Neutral
nice place work,Positive
siloed movement nearly impossible cheap,Neutral
sde intern,Neutral
amazing work space great weather seattlegood company culture,Positive
great company,Positive
company good,Positive
level,Neutral
senior software engineer,Neutral
sde intern,Neutral
good choice,Positive
awesome place work coolest technologies earth,Positive
software engineer,Neutral
review amazon,Neutral
sde intern,Neutral
health safety coordinator,Neutral
nice place many opportunities,Positive
intern,Neutral
review,Neutral
ist changed good,Positive
technician,Neutral
big company,Neutral
nice company,Positive
great place work,Positive
great place work,Positive
flexible,Neutral
amazon distribution,Neutral
mimics temp agency,Neutral
fulfillment warehouse associate,Neutral
needs improvement,Neutral
working amazon,Neutral
good stamp hardly fun,Positive
monotonus job,Neutral
running running running behind day,Negative
technical account manager,Neutral
driver,Neutral
good company work,Positive
soso looking new job,Neutral
okiesh,Neutral
good option work,Positive
good place earn money,Positive
athome advisor,Neutral
low grade work bad culture,Negative
good sounds,Positive
high risk high reward,Positive
ms reiview,Neutral
fantastic company work,Positive
awesome place work,Positive
great company work,Positive
great company work,Positive
amazon summary,Neutral
quality company,Neutral
,Neutral
worked customer services moved trms,Neutral
software engineer,Neutral
transaction risk investigator,Neutral
software developer,Neutral
trapped talented,Positive
amazon,Neutral
amazon,Neutral
great,Positive
good one,Positive
best,Positive
good work,Positive
neutral satisfied,Positive
please reconsider joining operations team amazon,Neutral
ok ok company,Positive
support engineer,Neutral
red zone specialist,Neutral
good,Positive
apple red zone specialist,Neutral
analyst,Neutral
amazon trms,Neutral
good freshers,Positive
good experience,Positive
experience,Neutral
analyst,Neutral
making donuts,Neutral
great place work,Positive
apple retail manager specific focus store department,Neutral
exciting place,Positive
great place work better,Positive
senior catalog associate german,Neutral
senior subject matter expert,Negative
quality specialist,Neutral
get get experience get,Neutral
work fun,Positive
da,Neutral
amazon,Neutral
waste years life,Negative
technology makes better place,Positive
good,Positive
intern,Neutral
entry point world amazon,Neutral
good place nontech background,Positive
satisfied,Positive
giant player market,Neutral
onboarding specialist,Neutral
great facilities,Positive
apple great place work,Positive
tech support analyst,Neutral
neutral,Neutral
good org,Positive
k,Neutral
catalogue manager,Neutral
aha,Neutral
google fixed term residency program,Neutral
sales,Neutral
operations,Neutral
prime worker,Neutral
fruitfull kind stagnent since last yrs improvement career path,Positive
amazon dream came true,Positive
great place work,Positive
fastpace lots opportunities,Neutral
exceptional,Positive
exciting demanding,Positive
cool company work little training lack personal growth,Neutral
awesome,Positive
honest assessment,Positive
good experience,Positive
okay part time income,Positive
different,Neutral
feel ashamed work,Neutral
ok okay,Positive
mail sorter,Neutral
good work experience,Positive
csa customer service associate,Neutral
human resource assistant,Neutral
athome advisor,Neutral
advancement possible,Neutral
truthful hired,Positive
warehouse associate,Neutral
pay,Neutral
hours parttimers little chance moving fulltime,Negative
horrible,Negative
worst company ever,Negative
software development engineer,Neutral
best place work,Positive
horrible,Negative
good much improvement,Positive
catalogue speacialist,Neutral
investigation specialist,Neutral
,Neutral
google search quality raters,Neutral
g suite generalist,Neutral
sales representative,Neutral
fun working dark,Neutral
dont waste engineer path microsoft,Negative
best wor,Positive
great used,Positive
product marketing manager,Neutral
good,Positive
service associate,Neutral
quality assurance engineer,Neutral
politics politics politics,Neutral
youre,Neutral
good salary,Positive
amazing amazon,Positive
microsoft romania,Neutral
ware house operations,Neutral
ware house operations,Neutral
team lead,Neutral
average,Negative
mixed bag,Neutral
catalogue associate,Neutral
trms investigator amazon,Neutral
software engineer,Neutral
great experience,Positive
company,Neutral
good,Positive
na,Neutral
great company,Positive
software engineer,Neutral
exceptional exposed best industry offer technology leadership,Positive
awesome place,Positive
associates,Neutral
logistic services,Neutral
operations specialist,Neutral
apple experience,Neutral
associate,Neutral
amazon big company gives good hike salary,Positive
amazing culture amazing people amazing company,Positive
jobs google software engineer doesnt growthtotally useless jobs,Negative
good leadeship,Positive
great job,Positive
good company opinions based position youve hired,Positive
recruiter,Neutral
job security,Neutral
job security,Neutral
ridiculous,Negative
good place work emp performance reviews system still maddening,Positive
warehouse,Neutral
dont work,Neutral
ok place work,Positive
want life outside work look way,Neutral
high pace,Positive
experience google,Neutral
facebook,Neutral
senior operations program manager,Neutral
manager,Neutral
managers inexperienced,Neutral
fun yet difficult,Neutral
merc building company,Neutral
ops manager,Neutral
qualified people recruited bpo job,Neutral
transaction risk investigator,Neutral
manager,Neutral
great company learn corporate world,Positive
working ncr,Neutral
best place start first job,Positive
warehouse associate,Neutral
great company work,Positive
associate,Neutral
gbs engineer,Neutral
good,Positive
bad,Negative
fa intern,Neutral
sucks,Negative
little like high school,Positive
apple cool place work prepared work,Positive
sde,Neutral
ok,Positive
workaholic,Neutral
senior hr business partner,Neutral
incredible talented people life,Positive
high expectations,Positive
intern,Neutral
make great product life,Positive
work unless want wage slave,Neutral
nice workplace,Positive
introvert drezm job,Neutral
good place start job stay long,Positive
amazon,Neutral
best experience great values,Positive
good experience elevate career aspirations,Positive
good experience elevate career aspirations,Positive
dft,Neutral
test engineer,Neutral
order picker,Neutral
dream job,Neutral
facility closing information employee transfer status,Neutral
csa,Neutral
legal operations team lead,Positive
great company,Positive
great company lots opportunities,Positive
good place work startup anymore,Positive
great place work longer industry leader,Positive
apple inc,Neutral
great company,Positive
worst employer america,Negative
like used,Positive
mixed bag,Neutral
sde,Neutral
good place beginners,Positive
sde,Neutral
pros cons,Neutral
great place work,Positive
sde intern,Neutral
amazing company,Positive
great part time job full time students,Positive
interesting problems work potential high impact,Positive
great company work,Positive
nice company work,Positive
exciting workplace top talent,Positive
great work atmosphere,Positive
nice place work,Positive
manager,Neutral
great place work,Positive
,Neutral
sweet first job,Positive
sr manager,Neutral
perks,Neutral
good place work,Positive
great place work,Positive
customer service associate,Neutral
great environment work,Positive
senior associate,Neutral
learning manager,Neutral
amazon,Neutral
excellent environment,Positive
great company work,Positive
excellent,Positive
great work environment,Positive
great place work challenging problems,Positive
poorly structured,Negative
tpm,Neutral
picker,Neutral
stock options underwater,Neutral
ms hardware,Neutral
ms hardware,Neutral
atencion al cliente,Neutral
absolutely job security,Positive
great nepotistic company,Positive
awesome environment work,Positive
everyone met unhappy,Negative
software engineering engineers engineers,Neutral
aws premium support call centre,Neutral
unreal work environment,Neutral
investigator,Neutral
bad experience amazon prague,Negative
demanding good job,Positive
program manager ii,Neutral
great workplace,Positive
csa,Neutral
working warehouse good experience,Positive
great experience,Positive
interaction design intern,Neutral
company maturing,Neutral
campus associate,Neutral
good company,Positive
hired volt corp staffing agency,Neutral
amazon lose lot good reps,Positive
love challenge join ms,Positive
specialistgenius,Neutral
great company,Positive
vendor support,Neutral
bad,Negative
retail linked corporate,Neutral
smb sales,Neutral
good company,Positive
overall review,Neutral
good company work,Positive
sdet,Neutral
associate,Neutral
great work culture,Positive
great place work,Positive
work culture microsoft idc,Neutral
work life balance,Neutral
autonomy accountability,Neutral
software engineer,Neutral
catalogue associte,Neutral
sr data scientist,Neutral
great company great sacrifice others stay,Positive
good job unskilled,Positive
great company,Positive
software engineer,Neutral
family room specialist technologytechnical specialist,Neutral
family room specialist technologytechnical specialist,Neutral
business analyst,Neutral
good plce boost career freshers,Positive
excellent experience,Positive
need urgent requirement job,Neutral
qa,Neutral
nice place work,Positive
great expirence ambience really awesome,Positive
employer,Neutral
manager,Neutral
technical consultant,Neutral
great company,Positive
oracle application developer,Neutral
awesome,Positive
best place,Positive
good,Positive
great company,Positive
pros microsoft,Neutral
fraud investigation senior specialist,Neutral
data engineer,Neutral
good job,Positive
microsoft supply chain,Neutral
great company,Positive
software engineer,Neutral
best work culture,Positive
wow,Neutral
software development intern,Neutral
reviewms,Neutral
sde,Neutral
customer service,Neutral
patent intern,Neutral
world class company,Neutral
bad,Negative
amazing place work,Positive
hardware engineer,Neutral
beijing apple different us,Neutral
best place work tech,Positive
kicks ass,Neutral
,Neutral
system engineer,Neutral
working dogs,Neutral
classification specialist slovakia,Neutral
good new grad need improve,Positive
unorganized,Neutral
user experience design intern,Neutral
packer,Neutral
good company work,Positive
shipping clerk,Neutral
missed opportunities,Neutral
make,Neutral
best place ive ever worked,Positive
management,Neutral
great company,Positive
run bro,Neutral
one listens employees,Neutral
incredible hidden experience,Positive
netflix production review,Neutral
fired revealing medical diagnosis site leader,Negative
sweet fuzz,Positive
longest time ive ever waited start date life,Neutral
tough company work,Negative
retail store,Neutral
brand,Neutral
sales specialist,Neutral
ok,Positive
false expectations hiring training process,Negative
skys limit,Neutral
amazon sux work,Neutral
good,Positive
good,Positive
dvts building future customer service one step time,Neutral
good,Positive
microsoft perks free cabs good workstation,Positive
amazing supportive company,Positive
software development engineer,Neutral
glass ceiling,Neutral
specialist,Neutral
insurance,Neutral
poor opportunities,Negative
marketing program manager,Neutral
difficult get ahead,Negative
order picker,Neutral
good pay,Positive
great couple years,Positive
cant beat commute,Neutral
want make career prepared move three four times,Neutral
dont expect grow,Neutral
fair,Positive
good company,Positive
warehouse associate,Neutral
good salary,Positive
account executive,Neutral
financial controller,Neutral
financial controller,Neutral
good,Positive
social media ambassador,Neutral
love apple,Positive
contractor position recommend months,Neutral
research intern,Neutral
ok part time opportunity,Positive
short sweet company acquired,Positive
good,Positive
warehouse associte,Neutral
technical operations specialist ad review operatioins,Neutral
amazon,Neutral
csr,Neutral
great place,Positive
paradise,Neutral
wonderful intern experience,Positive
poor management impact ability,Negative
campus representative,Neutral
google,Neutral
amazon area manager,Neutral
started,Neutral
dont,Neutral
free iphone overtime,Positive
googs,Neutral
ops work back office support,Neutral
good place work losing vision,Positive
good place work losing vision,Positive
another brick wall,Neutral
poor life work balance,Negative
working google ireland,Neutral
fulfillment associate,Neutral
sorter,Neutral
seasonal customer service rep,Neutral
straight forward work unorganized rude seniority staff members,Neutral
head growth,Neutral
regional accommodation specialist,Neutral
amazing company amazing benefits,Positive
part time,Neutral
exciting work aws,Positive
good experience,Positive
amazon awesome place work,Positive
fast paced challenging,Positive
workplace aligns personal values,Neutral
job openings,Neutral
icqa assistancekiva,Neutral
great job gave experience leading,Positive
love building great software comfortable stable environment microsoft place,Positive
good place working life balance waiting retirement,Positive
senior technical support,Neutral
content coordinator,Neutral
chat senior specialist,Neutral
love machines much treat like one,Positive
good entry level job,Positive
okay,Positive
warehouse associate,Neutral
csr hillsboro call center,Neutral
sortation associate,Neutral
audit,Neutral
smart people fabulous workplace,Positive
ms provides employees health care dental vision coverage flexible spending accounts employee,Neutral
people centric walmart online world,Neutral
great place work,Positive
transaction risk investigator,Neutral
software development engineer bangalore,Neutral
good place work,Positive
really great company engineers,Positive
dissatisfying,Neutral
good growth oppotunities,Positive
amazon managers review,Neutral
sdei,Neutral
amazing amazonians,Positive
great team work,Positive
company one happy,Positive
decent company,Positive
frupid,Neutral
smart people,Positive
various lot fun site good targets bonus,Positive
excellent pay benefits worklife balance,Positive
great place lots talent work learn personal life,Positive
great place learn ready compromise personal life big time attractive benefits,Positive
awful place work,Negative
amazon cs,Neutral
glamorous make seem,Neutral
sortation associate,Neutral
depends manager,Neutral
shift manager amazon logistics,Neutral
packer,Neutral
gptw,Neutral
best working place,Positive
software menager,Neutral
nice,Positive
ok job,Positive
awesome place work hard play hard,Neutral
great place right person,Positive
cs agent,Neutral
rich sales experience,Positive
solid engineering challenges good products,Positive
good place build career,Positive
run fast run hard never look back,Neutral
great perks,Positive
amazon,Neutral
awesome place work,Positive
get give,Neutral
manager churn,Neutral
research intern,Neutral
nice place work without share politics,Positive
nice place work without share politics,Positive
great company,Positive
good beneficial,Positive
mixed bag experiences,Neutral
software engineer,Neutral
tech ops,Neutral
disappointing say least,Negative
product manager,Neutral
matter taste,Neutral
great benefits career,Positive
great company growth,Positive
food delicious,Positive
sales,Neutral
good job youre stuck,Positive
started amazing decreased rapidly,Positive
need love apple praise every move want progress,Positive
great culture good people wants,Positive
exciting fun,Positive
technical program manager,Neutral
medium skilled startup,Positive
great place shop good place work fulfilment center,Positive
join good old boys amazon way get promotionif click,Positive
oracle erp developer,Neutral
senior csa,Neutral
amazon iq associate,Neutral
employeecentric,Neutral
good work,Positive
struggle unstructured beauracacy,Neutral
apple socialist,Neutral
dissapointed,Neutral
working amazon,Neutral
awesome place work losing shape due new bpo like procees extra workforce,Positive
google,Neutral
fresher,Neutral
job security poor management,Negative
good,Positive
hardware dev engineer,Neutral
dispatch,Neutral
great money deal customers,Positive
packer,Neutral
hired agency dont get benefits,Neutral
software engineer ii,Neutral
,Neutral
ba role,Neutral
consultant,Neutral
,Neutral
good workplace environment,Positive
pros cons,Neutral
raises,Neutral
great place worknever problem,Positive
associates receive raises,Neutral
good job students,Positive
fun motivating,Positive
work life,Neutral
senior advisor,Neutral
pretty good guess,Positive
great place like technology,Positive
good self motivator,Positive
project manager,Neutral
ready change,Positive
bad sometimes great place work,Positive
great,Positive
best years ever,Positive
challenging rewarding work,Positive
great place work,Positive
amazing,Positive
good working,Positive
brilliant experience,Positive
great company work,Positive
amazing,Positive
best company ive ever worked including company,Positive
postive,Neutral
central flow lead,Neutral
great company,Positive
great company,Positive
operations manager,Neutral
awesome starting point,Positive
great place work,Positive
products review,Neutral
excellent nurturing environment,Positive
technical specialist,Neutral
great company work,Positive
great place work,Positive
college home advisor,Neutral
excellent intership experience,Positive
stimulating environment great job satisfaction,Positive
positive,Positive
cloud architect,Neutral
great company,Positive
campus associate,Neutral
great company hard move outside,Positive
process assistant,Neutral
great experience,Positive
amazing company,Positive
great company great culture,Positive
wonderful company,Positive
field sales representative,Neutral
production design,Neutral
part timeseasonal,Neutral
pretty good,Positive
great company bad store,Positive
excellent company,Positive
,Neutral
used great place work nowadays,Positive
fun,Positive
employee,Neutral
great place work,Positive
interesting challenging work,Positive
math data,Neutral
classification specialist,Neutral
team driven,Neutral
retail areas,Neutral
great young,Positive
business support specialist,Neutral
sales,Neutral
expert,Neutral
apple redzone specialist,Neutral
project manager,Neutral
laughable,Negative
prime fulfillment associate,Neutral
bad go,Negative
fine big company work,Positive
confusing good like working government agency sales org,Positive
great company,Positive
great,Positive
great,Positive
nice,Positive
network administrator,Neutral
little known company,Negative
company able leverage full technical potential role,Positive
unfair,Negative
software develop engineer,Neutral
amazon,Neutral
misleading unorganized play employees time expectations,Neutral
data associate,Neutral
pays really well,Positive
working amazon,Neutral
work hard fun make history,Neutral
work hard fun make history,Neutral
nice place work,Positive
cool company,Positive
innovative culture rough wlb,Positive
solutions sales professional,Neutral
bad management frictions time mad way use numbers,Negative
dont,Neutral
responce,Neutral
youre right lucky work,Positive
recommending fulfillment center night shift,Neutral
incredible working environment,Positive
good firm learn things,Positive
work smartest ppl,Neutral
mba summer intern,Neutral
relationship manager,Neutral
relationship manager,Neutral
laid back job,Neutral
enduser support,Neutral
warehouse associate,Neutral
love job hate fc work,Negative
family room specialist genius,Neutral
best company,Positive
expert,Neutral
amazon fresh side house bellevue bout move kent,Positive
overworked underpaid unappreciated,Neutral
room advancement,Neutral
customer service representative,Neutral
retail forgotten,Neutral
goodd,Neutral
good bad,Neutral
prime,Neutral
room advancement,Neutral
amazon,Neutral
good perks long career development processes,Positive
customer service representative,Neutral
awesome company,Positive
specialist,Neutral
good place start,Positive
ok,Positive
terrible work environment worker moral consistently low,Negative
great place work,Positive
tons contractors,Neutral
less growth opportunities salary,Negative
learning trainer,Neutral
associate,Neutral
great,Positive
better retailers,Positive
easy job great culture,Positive
amazon quantity quality,Neutral
super fast paced stress often,Negative
amazon great,Positive
business specialist,Neutral
specialist,Neutral
great overall experience,Positive
expecting,Neutral
shipping,Neutral
decent,Positive
associate,Neutral
working apple,Neutral
contractor year google,Neutral
dont get stuck,Neutral
good experience good job finishing degree college,Positive
good experience,Positive
good experience,Positive
robot otherwise favor consider something different,Neutral
picker,Neutral
awesome job,Positive
work home customer service,Neutral
caring employees,Neutral
amazon okay place work lpacker,Positive
good job,Positive
mixed feelings,Neutral
data center,Neutral
vds,Neutral
love product love culture love helping people,Positive
started great became miserable environment,Positive
specialist,Neutral
great company great benefits,Positive
sales leader,Neutral
decent place work,Positive
troubleshoot mobile devices run data migrations,Neutral
ok company,Positive
easy work pay raises,Positive
genius,Neutral
overrated,Neutral
good company fit well,Positive
stability,Neutral
big one descent place work,Neutral
employ friendly,Positive
technical specialist,Neutral
exhausting fun,Neutral
senior support specialist,Neutral
microsoft teals program,Neutral
epg sales,Neutral
amazon isnt bad,Negative
stower,Neutral
sde,Neutral
academic without direction,Neutral
area manager,Neutral
learn lot,Neutral
customer service executive,Neutral
great experience,Positive
worst company one could work,Negative
great opportunity,Positive
genius,Neutral
associate,Neutral
lead mac genius retail store,Neutral
years specialist year family room specialist,Neutral
benefits great expect way beyond retail experience,Positive
sephora,Neutral
expert,Neutral
distribution center warehouse,Neutral
great journey,Positive
good place start,Positive
challenging boring,Negative
az,Neutral
loving,Positive
stower,Neutral
great place work,Positive
great company,Positive
best company work excellent people great learnings tremendous opportunities grow,Positive
good place start,Positive
,Neutral
awesome company mission connect world,Positive
learn great leader,Positive
software development engineer intern,Neutral
sde salary,Neutral
sofeware development engineer,Neutral
great wlb,Positive
good company,Positive
amazon fulltime inbound stow,Neutral
excellent oppurtunity,Positive
work play,Neutral
best know worse,Positive
administrative,Neutral
dont believe hype,Neutral
trms profile provide nothing chaotic exposure corporate world,Neutral
good company learn develop,Positive
associate,Neutral
reviewing current companys work,Neutral
best place work,Positive
good,Positive
good place work,Positive
smb india sales manager,Neutral
nontech role,Neutral
best place work ever,Positive
dont know,Neutral
exciting products really fun employees,Positive
right place people things right,Positive
awful company,Negative
working ms,Neutral
lots broken promiseslots,Negative
prime,Neutral
executive administrator,Neutral
great company lost way,Positive
politics,Neutral
fun disorganized,Positive
worst expierience ever far management handles staff,Negative
recruiter,Neutral
people risk management,Neutral
autonomy flexibility,Neutral
terrible company,Negative
specialist,Neutral
great place express,Positive
ok,Positive
good work,Positive
best opportunity freshers enough salary benefitsworlds customercentric company,Positive
good atmosphere,Positive
awesome,Positive
microsoft student partner,Neutral
,Neutral
associate consultant,Neutral
associate consultant,Neutral
good starting salary,Positive
good,Positive
always day one amazon,Neutral
good company,Positive
great company prepared manage career growth,Positive
expert,Neutral
gain experience fast demoralizing environment,Positive
greatest,Positive
good company freshers,Positive
prepared never see family friends,Neutral
decent retail corporate large gap merge,Neutral
proper support managers,Neutral
software developer,Neutral
growing fast keep,Positive
fit amazon,Positive
ad rater,Neutral
dissapointing received support graduate programme useless sales consultant,Negative
good pay good coworkers talent everywhere,Positive
editing voce translation,Neutral
worst job ever,Negative
great,Positive
still good company work,Positive
operation manager,Neutral
good pay poor work bad culture,Neutral
meh,Neutral
meh,Neutral
good,Positive
software engineer,Neutral
csa,Neutral
great early something someone ok without worklife balance,Positive
long hours hard physical work monotonous,Neutral
good place work might boring,Negative
windows cloud support,Neutral
awesome,Positive
fun make history,Positive
good,Positive
super,Positive
great place work,Positive
great colleagues learn,Positive
senior manager,Neutral
bad work place,Negative
great learning good work life balance career development,Positive
ceo,Neutral
tough manage work life balance,Negative
nice company,Positive
nightmare cultlike infrastructure,Positive
good,Positive
time offen coaching,Neutral
ok,Positive
crazy time tables expectations,Negative
bad,Negative
,Neutral
great place work fulltime perm,Positive
great job tough get though,Positive
overall good experience,Positive
contracts advertising dumb,Negative
horrendous,Neutral
run sociopaths,Neutral
fast paced lots opportunities lacking development training,Positive
work life balance,Neutral
review,Neutral
senior finops analyst,Neutral
service delivery manager,Neutral
senior operations manager,Neutral
youtube ad sense,Neutral
micorosft software specialist sales,Neutral
great company work,Positive
overworked bored,Negative
good job good manager,Positive
ssp,Neutral
good part amazon,Positive
project coordinator,Neutral
disappointed,Negative
great perks fun people atmosphere,Positive
house physical security,Neutral
good seattle based company,Positive
could better,Positive
best company work,Positive
work culture,Neutral
work culture,Neutral
warehouse operative,Neutral
software engineer,Neutral
dysfunctional org,Neutral
warehouse associate,Neutral
one best companies work obsessed customers finding solutions real world problems,Positive
average,Negative
great company even year,Positive
land opportunity,Neutral
fantastic,Positive
rewarding,Positive
warehouse associate,Neutral
